""AgeGroup""	""Age Group Code""	""Causeofdeath""	""Cause of death Code""	""Year""	""Year Code""	""Race""	""Race Code""	""Gender""	""Gender Code""	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths"
"""65-74 years""	""65-74""	""Myotonia atrophica""	""330.4""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	127813	1.6 (Unreliable)	0.2	5.7	1.1	0.0%"
"""65-74 years""	""65-74""	""Myotonia atrophica""	""330.4""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Myotonia atrophica""	""330.4""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	2	158537	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Hereditary chorea""	""331.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Hereditary chorea""	""331.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Hereditary chorea""	""331.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	130245	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Hereditary chorea""	""331.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	3	161279	1.9 (Unreliable)	0.4	5.4	1.1	0.0%"
"""65-74 years""	""65-74""	""Hereditary chorea""	""331.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""333.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""333.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	5	152488	3.3 (Unreliable)	1.1	7.7	1.5	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	5	127813	3.9 (Unreliable)	1.3	9.1	1.7	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	8	154649	5.2 (Unreliable)	2.2	10.2	1.8	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	4	129151	3.1 (Unreliable)	0.8	7.9	1.5	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	10	156550	6.4 (Unreliable)	3.1	11.7	2.0	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	2	158537	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	131429	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	8	161279	5.0 (Unreliable)	2.1	9.8	1.8	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	6	164143	3.7 (Unreliable)	1.3	8.0	1.5	0.0%"
"""65-74 years""	""65-74""	""Multiple sclerosis""	""340""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	133988	1.5 (Unreliable)	0.2	5.4	1.1	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	3	152488	2.0 (Unreliable)	0.4	5.7	1.1	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	156550	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	161279	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other demyelinating diseases of central nervous system""	""341""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	10	152488	6.6 (Unreliable)	3.1	12.1	2.1	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	21	127813	16.4	10.2	25.1	3.6	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	16	154649	10.3 (Unreliable)	5.9	16.8	2.6	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	14	129151	10.8 (Unreliable)	5.9	18.2	2.9	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	18	156550	11.5 (Unreliable)	6.8	18.2	2.7	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	40	130245	30.7	21.9	41.8	4.9	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	14	158537	8.8 (Unreliable)	4.8	14.8	2.4	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	16	131429	12.2 (Unreliable)	7.0	19.8	3.0	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1974""	""1974""	""Black or African American""	""2054-5""	""Female""	""F""	1	1931	51.8 (Unreliable)	1.3	288.5	51.8	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	14	161279	8.7 (Unreliable)	4.7	14.6	2.3	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	19	132674	14.3 (Unreliable)	8.6	22.4	3.3	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1975""	""1975""	""Other Race""	""2131-1""	""Female""	""F""	1	673	148.6 (Unreliable)	3.8	827.9	148.6	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	12	164143	7.3 (Unreliable)	3.8	12.8	2.1	0.0%"
"""65-74 years""	""65-74""	""Paralysis agitans""	""342""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	11	133988	8.2 (Unreliable)	4.1	14.7	2.5	0.0%"
"""65-74 years""	""65-74""	""Other spastic paralyis""	""343.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Other spastic paralyis""	""343.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Hemiplegia""	""344.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Hemiplegia""	""344.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Paraplegia""	""344.2""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Paraplegia""	""344.2""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Paraplegia""	""344.2""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	164143	0.6 (Unreliable)	0.0	3.4	0.6	0.0%"
"""65-74 years""	""65-74""	""Quadriplegia""	""344.3""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Quadriplegia""	""344.3""	""1972""	""1972""	""Black or African American""	""2054-5""	""Male""	""M""	2	1481	135.0 (Unreliable)	16.4	487.8	95.5	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""344.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""344.9""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""344.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""344.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""344.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Generalised convulsive""	""345.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Generalised convulsive""	""345.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Generalised convulsive""	""345.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	131429	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Generalised convulsive""	""345.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	164143	0.6 (Unreliable)	0.0	3.4	0.6	0.0%"
"""65-74 years""	""65-74""	""Status epilepticus""	""345.2""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""345.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""345.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	3	129151	2.3 (Unreliable)	0.5	6.8	1.3	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""345.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	164143	0.6 (Unreliable)	0.0	3.4	0.6	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	3	154649	1.9 (Unreliable)	0.4	5.7	1.1	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	129151	1.5 (Unreliable)	0.2	5.6	1.1	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	4	130245	3.1 (Unreliable)	0.8	7.9	1.5	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	3	131429	2.3 (Unreliable)	0.5	6.7	1.3	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	161279	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	132674	1.5 (Unreliable)	0.2	5.4	1.1	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	3	164143	1.8 (Unreliable)	0.4	5.3	1.1	0.0%"
"""65-74 years""	""65-74""	""Cerebral and cortical atrophy""	""347.1""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	2	133988	1.5 (Unreliable)	0.2	5.4	1.1	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	3	152488	2.0 (Unreliable)	0.4	5.7	1.1	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	4	127813	3.1 (Unreliable)	0.9	8.0	1.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	6	129151	4.6 (Unreliable)	1.7	10.1	1.9	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	156550	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	6	130245	4.6 (Unreliable)	1.7	10.0	1.9	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1973""	""1973""	""Black or African American""	""2054-5""	""Male""	""M""	1	1533	65.2 (Unreliable)	1.7	363.4	65.2	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	131429	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	3	161279	1.9 (Unreliable)	0.4	5.4	1.1	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	7	132674	5.3 (Unreliable)	2.1	10.9	2.0	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	2	164143	1.2 (Unreliable)	0.1	4.4	0.9	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""347.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	4	133988	3.0 (Unreliable)	0.8	7.6	1.5	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	4	152488	2.6 (Unreliable)	0.7	6.7	1.3	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	11	127813	8.6 (Unreliable)	4.3	15.4	2.6	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	4	154649	2.6 (Unreliable)	0.7	6.6	1.3	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	12	129151	9.3 (Unreliable)	4.8	16.2	2.7	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	4	156550	2.6 (Unreliable)	0.7	6.5	1.3	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	6	130245	4.6 (Unreliable)	1.7	10.0	1.9	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	6	158537	3.8 (Unreliable)	1.4	8.2	1.5	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	5	131429	3.8 (Unreliable)	1.2	8.9	1.7	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	4	161279	2.5 (Unreliable)	0.7	6.4	1.2	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	9	132674	6.8 (Unreliable)	3.1	12.9	2.3	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	5	164143	3.0 (Unreliable)	1.0	7.1	1.4	0.0%"
"""65-74 years""	""65-74""	""Amyotrophic lateral sclerosis""	""348.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	9	133988	6.7 (Unreliable)	3.1	12.8	2.2	0.0%"
"""65-74 years""	""65-74""	""Progressive bulbar palsy""	""348.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	156550	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Progressive bulbar palsy""	""348.1""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	161279	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other progressive muscular atrophy""	""348.2""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Other progressive muscular atrophy""	""348.2""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	130245	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Other progressive muscular atrophy""	""348.2""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	161279	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other progressive muscular atrophy""	""348.2""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified manifestations""	""348.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified manifestations""	""348.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	164143	0.6 (Unreliable)	0.0	3.4	0.6	0.0%"
"""65-74 years""	""65-74""	""Compression, old or not specified as traumatic""	""349.6""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	131429	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""349.9""	""1975""	""1975""	""White""	""2106-3""	""Female""	""F""	1	164143	0.6 (Unreliable)	0.0	3.4	0.6	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	2	127813	1.6 (Unreliable)	0.2	5.7	1.1	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	2	129151	1.5 (Unreliable)	0.2	5.6	1.1	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	3	131429	2.3 (Unreliable)	0.5	6.7	1.3	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	2	161279	1.2 (Unreliable)	0.2	4.5	0.9	0.0%"
"""65-74 years""	""65-74""	""Polyneuritis and polyradiculitis""	""354""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Spinal NEC""	""355.1""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""357.9""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	156550	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""357.9""	""1972""	""1972""	""White""	""2106-3""	""Male""	""M""	2	130245	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""357.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	1	131429	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Other and unspecified""	""357.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Senile and unspecified type""	""374.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Senile and unspecified type""	""374.9""	""1973""	""1973""	""White""	""2106-3""	""Male""	""M""	2	131429	1.5 (Unreliable)	0.2	5.5	1.1	0.0%"
"""65-74 years""	""65-74""	""Disease of cornea NEC""	""378.4""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Chronic""	""381.1""	""1972""	""1972""	""White""	""2106-3""	""Female""	""F""	2	156550	1.3 (Unreliable)	0.2	4.6	0.9	0.0%"
"""65-74 years""	""65-74""	""Unspecified""	""381.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Unspecified""	""381.9""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Unspecified""	""383.9""	""1970""	""1970""	""White""	""2106-3""	""Male""	""M""	1	127813	0.8 (Unreliable)	0.0	4.4	0.8	0.0%"
"""65-74 years""	""65-74""	""Rheumatic fever without mention of heart involvement""	""390""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	1	132674	0.8 (Unreliable)	0.0	4.2	0.8	0.0%"
"""65-74 years""	""65-74""	""Active rheumatic pericarditis""	""391.0""	""1973""	""1973""	""White""	""2106-3""	""Female""	""F""	1	158537	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Active rheumatic pericarditis""	""391.0""	""1974""	""1974""	""White""	""2106-3""	""Female""	""F""	1	161279	0.6 (Unreliable)	0.0	3.5	0.6	0.0%"
"""65-74 years""	""65-74""	""Active rheumatic pericarditis""	""391.0""	""1975""	""1975""	""White""	""2106-3""	""Male""	""M""	1	133988	0.7 (Unreliable)	0.0	4.2	0.7	0.0%"
"""65-74 years""	""65-74""	""Other active rheumatic heart disease""	""391.9""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Other active rheumatic heart disease""	""391.9""	""1971""	""1971""	""White""	""2106-3""	""Male""	""M""	1	129151	0.8 (Unreliable)	0.0	4.3	0.8	0.0%"
"""65-74 years""	""65-74""	""Diseases of pericardium""	""393""	""1970""	""1970""	""White""	""2106-3""	""Female""	""F""	1	152488	0.7 (Unreliable)	0.0	3.7	0.7	0.0%"
"""65-74 years""	""65-74""	""Diseases of pericardium""	""393""	""1971""	""1971""	""White""	""2106-3""	""Female""	""F""	1	154649	0.6 (Unreliable)	0.0	3.6	0.6	0.0%"
"""65-74 years""	""65-74""	""Diseases of pericardium""	""393""	""1974""	""1974""	""White""	""2106-3""	""Male""	""M""	2	132674	1.5 (Unreliable)	0.2	5.4	1.1	0.0%"
